wine:6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;,K=2
wine:2.962226e+06;2.962226e+06;2.872532e+06;2.962226e+06;2.962226e+06;2.962226e+06;2.962226e+06;2.962226e+06;2.962226e+06;2.962226e+06;,K=3
wine:1.904950e+06;1.904950e+06;1.904950e+06;1.904950e+06;1.904950e+06;1.904950e+06;1.904950e+06;1.904950e+06;1.904950e+06;1.904950e+06;,K=4
wine:1.008776e+06;1.008776e+06;1.008776e+06;1.008776e+06;9.964063e+05;9.571945e+05;1.008776e+06;1.008776e+06;1.008776e+06;1.008776e+06;,K=6
wine:6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;,K=2
wine:2.962226e+06;2.872532e+06;2.962226e+06;2.962226e+06;2.962226e+06;2.962226e+06;2.962226e+06;2.962226e+06;2.962226e+06;2.962226e+06;,K=3
wine:6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;,K=2
wine:2.962226e+06;2.962226e+06;2.872532e+06;2.962226e+06;2.872532e+06;2.962226e+06;2.872532e+06;2.872532e+06;2.872532e+06;2.872532e+06;,K=3
wine:1.853024e+06;1.904950e+06;1.865800e+06;1.853024e+06;1.904950e+06;1.864777e+06;1.853024e+06;1.894070e+06;1.865800e+06;1.904950e+06;,K=4
wine:9.990082e+05;1.008776e+06;1.002078e+06;1.008776e+06;9.377357e+05;1.008776e+06;9.571945e+05;1.008776e+06;1.008776e+06;9.988610e+05;,K=6
wine:7.345635e+05;6.842255e+05;7.345635e+05;7.259699e+05;7.345635e+05;7.345635e+05;7.345635e+05;7.345635e+05;7.268778e+05;7.345635e+05;,K=7
wine:5.009712e+05;5.061534e+05;5.061534e+05;5.061534e+05;4.924012e+05;4.769055e+05;4.930786e+05;5.061534e+05;5.061534e+05;5.061534e+05;,K=10
wine:4.039378e+05;4.327903e+05;4.278362e+05;4.128852e+05;4.239710e+05;4.263665e+05;4.327903e+05;4.327903e+05;4.327903e+05;4.327903e+05;,K=11
wine:3.215232e+05;3.485969e+05;3.601952e+05;3.601952e+05;3.481201e+05;3.601952e+05;3.601952e+05;3.316426e+05;3.417136e+05;3.601952e+05;,K=13
wine:2.764871e+05;2.764871e+05;2.438357e+05;2.764871e+05;2.764871e+05;2.630063e+05;2.764871e+05;2.707048e+05;2.764871e+05;2.764871e+05;,K=15
wine:1.737925e+05;1.737925e+05;1.737925e+05;1.730595e+05;1.714401e+05;1.634644e+05;1.703622e+05;1.737925e+05;1.410234e+05;1.737925e+05;,K=20
wine:6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;6.507529e+06;,K=2
